assessment,farm_type,stage,process,input,drop_down,input_label,emission_factor,gwp_unit,reference_year,min,max,avg,step_value,unit
seaweed cultivation and Harvest,long-line,Propagule Production,Nursery,Nursery and equipment electricity use,Japan Grid Mix,Nursery and Equipment Electricty Use,0.67,kg CO2/kWh,2013,1,960,22.4,1,kWh
seaweed cultivation and Harvest,long-line,Propagule Production,Nursery,Nursery and equipment electricity use,China Grid Mix,Nursery and Equipment Electricty Use,0.90,kg CO2/kWh,2011,1,960,22.4,1,kWh
seaweed cultivation and Harvest,long-line,Propagule Production,Nursery,nutrient medium,none,Nutrient Medium,0.00,kg CO2/kg,NA,0,0,0,0,kg
seaweed cultivation and Harvest,long-line,Propagule Production,Nursery,nutrient medium,Ammonium Nitrate,Nutrient Medium,3.20,kg CO2/kg,,1,1000,500.5,1,kg
seaweed cultivation and Harvest,long-line,Propagule Production,Nursery,nutrient medium,Sodium Phosphate,Nutrient Medium,0.05,kg CO2/kg,,1,1000,500.5,1,kg
seaweed cultivation and Harvest,long-line,Propagule Production,Nursery,culture string,none,Culture String,0.00,kg CO2/kg,NA,0,0,0,0,kg
seaweed cultivation and Harvest,long-line,Propagule Production,Nursery,culture string,Polyamide Fibers,Culture String,10.70,kg CO2/kg,2016,25,50,37.5,1,kg
seaweed cultivation and Harvest,long-line,Propagule Production,Nursery,culture string,PP Fibers,Culture String,2.31,kg CO2/kg,2016,25,50,37.5,1,kg
seaweed cultivation and Harvest,long-line,Propagule Production,Nursery,culture string,PET Fibers,Culture String,4.67,kg CO2/kg,2016,25,50,37.5,1,kg
seaweed cultivation and Harvest,long-line,Propagule Production,Nursery,culture string,RPET Fibers,Culture String,0.98,kg CO2/kg,,25,50,37.5,1,kg
seaweed cultivation and Harvest,long-line,Propagule Production,Nursery,culture string,Nylon 66,Culture String,8.04,kg CO2/kg,2015,25,50,37.5,1,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Seeding,long-line,none,Long Line,0.00,kg CO2/kg,NA,0,0,0,0,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Seeding,long-line,Polyamide Fibers,Long Line,10.70,kg CO2/kg,2016,111,720,415.5,1,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Seeding,long-line,PP Fibers,Long Line,2.31,kg CO2/kg,2016,111,720,415.5,1,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Seeding,long-line,PET Fibers,Long Line,4.67,kg CO2/kg,2016,111,720,415.5,1,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Seeding,long-line,RPET Fibers,Long Line,0.98,kg CO2/kg,,111,720,415.5,1,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Seeding,long-line,Nylon 66,Long Line,8.04,kg CO2/kg,2015,111,720,415.5,1,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Seeding,electricity for equipment,none,Electricity for Equipment,0.00,kg CO2/kWh,NA,0,0,0,0,kWh
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Seeding,electricity for equipment,US Grid Mix,Electricity for Equipment,0.48,kg CO2/kWh,2018,1,960,22.4,,kWh
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Seeding,electricity for equipment,EU-28 Grid Mix,Electricity for Equipment,0.44,kg CO2/kWh,2013,1,960,22.4,,kWh
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Seeding,electricity for equipment,UK Grid Mix,Electricity for Equipment,0.52,kg CO2/kWh,2013,1,960,22.4,,kWh
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Seeding,electricity for equipment,Japan Grid Mix,Electricity for Equipment,0.67,kg CO2/kWh,2013,1,960,22.4,,kWh
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Seeding,electricity for equipment,China Grid Mix,Electricity for Equipment,0.90,kg CO2/kWh,2011,1,960,22.4,,kWh
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Seeding,fuel for equipment,none,Fuel for Equipment,0.00,kg CO2/l,NA,0,0,0,0,liter
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Seeding,fuel for equipment,US Diesel,Fuel for Equipment,3.20,kg CO2/l,2013,5,10,7.5,0.1,liter
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Seeding,fuel for equipment,US Gasoline,Fuel for Equipment,3.00,kg CO2/l,2013,5,10,7.5,0.1,liter
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Seeding,fuel for equipment,US Natural Gas Mix,Fuel for Equipment,0.00,kg CO2/l,2013,5,10,7.5,0.1,liter
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Seeding,fuel for equipment,EU-28 Natural Gas Mix,Fuel for Equipment,0.00,kg CO2/l,2013,5,10,7.5,0.1,liter
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Seeding,fuel for equipment,US Propane,Fuel for Equipment,1.82,kg CO2/l,2013,5,10,7.5,0.1,liter
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Seeding,fuel for equipment,EU-28 Propane,Fuel for Equipment,1.79,kg CO2/l,2013,5,10,7.5,0.1,liter
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Ocean Deployment,fuel for transport,none,Fuel for Transport,0.00,kg CO2/l,NA,0,0,0,0,liter
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Ocean Deployment,fuel for transport,US Diesel,Fuel for Transport,3.20,kg CO2/l,2013,0.001,0.08,0.046432353,0.001,liter
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Ocean Deployment,fuel for transport,US Gasoline,Fuel for Transport,3.00,kg CO2/l,2013,0.001,0.08,0.046432353,0.001,liter
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Ocean Deployment,support lines,none,Support Lines,0.00,kg CO2/kg,NA,0,0,0,0,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Ocean Deployment,support lines,Polyamide Fibers,Support Lines,10.70,kg CO2/kg,2016,10,50,21.5,1,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Ocean Deployment,support lines,PP Fibers,Support Lines,2.31,kg CO2/kg,2016,10,50,21.5,1,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Ocean Deployment,support lines,PET Fibers,Support Lines,4.67,kg CO2/kg,2016,10,50,21.5,1,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Ocean Deployment,support lines,RPET Fibers,Support Lines,0.98,kg CO2/kg,,10,50,21.5,1,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Ocean Deployment,support lines,Nylon 66,Support Lines,8.04,kg CO2/kg,2015,10,50,21.5,1,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Ocean Deployment,anchors,none,Anchors,0.00,kg CO2/kg,NA,0,0,0,0,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Ocean Deployment,anchors,Concrete,Anchors,0.13,kg CO2/kg,2016,952,6099,2668,1,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Ocean Deployment,anchors,Steel,Anchors,2.50,kg CO2/kg,2007,952,6099,2668,1,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Ocean Deployment,anchors,Chromium Steel,Anchors,4.20,kg CO2/kg,2015,952,6099,2668,1,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Ocean Deployment,buoys,none,Buoys,0.00,kg CO2/kg,NA,0,0,0,0,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Ocean Deployment,buoys,Polyamide Fibers,Buoys,10.70,kg CO2/kg,2016,33,53,43,1,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Ocean Deployment,buoys,PP Fibers,Buoys,2.31,kg CO2/kg,2016,33,53,43,1,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Ocean Deployment,buoys,PET Fibers,Buoys,4.67,kg CO2/kg,2016,33,53,43,1,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Ocean Deployment,buoys,RPET Fibers,Buoys,0.98,kg CO2/kg,,33,53,43,1,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Ocean Deployment,buoys,PVC,Buoys,2.90,kg CO2/kg,2005,33,53,43,1,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Ocean Deployment,chains,none,Chains,0.00,kg CO2/kg,NA,0,0,0,0,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Ocean Deployment,chains,Steel,Chains,2.50,kg CO2/kg,2007,38.4,144,91.2,1,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Ocean Deployment,chains,Chromium Steel,Chains,4.20,kg CO2/kg,2015,38.4,144,91.2,1,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Ocean Deployment,buoy rope,none,Buoy Rope,0.00,kg CO2/kg,NA,0,0,0,0,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Ocean Deployment,buoy rope,Polyamide Fibers,Buoy Rope,10.70,kg CO2/kg,2016,10,50,21.5,1,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Ocean Deployment,buoy rope,PP Fibers,Buoy Rope,2.31,kg CO2/kg,2016,10,50,21.5,1,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Ocean Deployment,buoy rope,PET Fibers,Buoy Rope,4.67,kg CO2/kg,2016,10,50,21.5,1,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Ocean Deployment,buoy rope,RPET Fibers,Buoy Rope,0.98,kg CO2/kg,,10,50,21.5,1,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Ocean Deployment,buoy rope,Nylon 66,Buoy Rope,8.04,kg CO2/kg,2015,10,50,21.5,1,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Ocean Deployment,buoy weights,none,Buoy Weights,0.00,kg CO2/kg,NA,0,0,0,0,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Ocean Deployment,buoy weights,Steel,Buoy Weights,2.50,kg CO2/kg,2007,10,144,77,1,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Ocean Deployment,buoy weights,Chromium Steel,Buoy Weights,4.20,kg CO2/kg,2015,10,144,77,1,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Monitoring,fuel for Monitoring,none,Fuel for Monitoring Vessel,0.00,kg CO2/kg,NA,0,0,0,0,kg
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Monitoring,fuel for Monitoring,US Diesel,Fuel for Monitoring Vessel,3.20,kg CO2/l,2013,0.8,1.2,1,0.01,liter
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Monitoring,fuel for Monitoring,US Gasoline,Fuel for Monitoring Vessel,3.00,kg CO2/l,2013,0.8,1.2,1,0.01,liter
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Harvest,fuel for Harvest vessel,none,Fuel for Harvest Vessel,0.00,kg CO2/l,NA,0,0,0,0,liter
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Harvest,fuel for Harvest vessel,US Diesel,Fuel for Harvest Vessel,3.20,kg CO2/l,2013,5,10,7.5,0.1,liter
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Harvest,fuel for Harvest vessel,US Gasoline,Fuel for Harvest Vessel,3.00,kg CO2/l,2013,5,10,7.5,0.1,liter
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Harvest,fuel for Harvest equipment,none,Fuel for Harvest Equipment,0.00,kg CO2/l,NA,0,0,0,0,liter
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Harvest,fuel for Harvest equipment,US Diesel,Fuel for Harvest Equipment,3.20,kg CO2/l,2013,5,10,7.5,0.1,liter
seaweed cultivation and Harvest,long-line,Ocean Cultivation and Harvest,Harvest,fuel for Harvest equipment,US Gasoline,Fuel for Harvest Equipment,3.00,kg CO2/l,2013,5,10,7.5,0.1,liter
